N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
143.0,69.0,217.0,5.9,0.58,0.23,10.2,116.35,59.96,54.85,21.29,pomegranate
170.0,36.0,216.0,5.9,0.15,0.28,15.69,114.2,56.87,31.28,28.62,pomegranate
158.0,66.0,219.0,6.8,0.34,0.2,15.29,65.87,51.81,57.12,27.59,pomegranate
133.0,45.0,207.0,6.4,0.94,0.21,8.48,103.1,43.81,68.5,47.29,pomegranate
132.0,48.0,218.0,6.7,0.54,0.19,5.59,63.4,56.4,46.71,31.04,pomegranate
137.0,36.0,187.0,6.5,0.27,0.19,14.19,103.63,55.62,62.27,22.35,pomegranate
173.0,62.0,194.0,6.3,0.42,0.16,5.9,106.01,47.26,38.41,14.54,pomegranate
152.0,56.0,218.0,6.4,0.37,0.27,14.24,107.55,40.8,65.93,14.53,pomegranate
143.0,71.0,173.0,6.9,0.19,0.25,7.79,70.8,68.69,51.48,20.04,pomegranate
141.0,20.0,208.0,6.6,0.39,0.26,7.49,104.46,29.38,68.91,18.31,pomegranate
131.0,36.0,209.0,5.8,0.84,0.22,5.48,79.78,50.38,35.69,41.0,pomegranate
146.0,43.0,195.0,6.7,0.12,0.24,10.2,105.36,66.53,21.74,35.32,pomegranate
136.0,78.0,215.0,5.8,0.14,0.19,18.22,67.61,56.48,34.25,12.11,pomegranate
179.0,47.0,213.0,6.5,0.67,0.25,18.6,68.08,24.23,37.01,33.52,pomegranate
170.0,71.0,186.0,6.1,0.27,0.25,12.14,118.34,39.53,31.18,49.54,pomegranate
168.0,52.0,174.0,6.9,0.55,0.17,19.96,82.57,33.71,69.05,22.09,pomegranate
169.0,18.0,217.0,7.2,0.32,0.27,5.66,70.36,34.26,24.74,44.29,pomegranate
153.0,45.0,179.0,5.9,0.74,0.26,19.98,106.26,36.45,42.66,15.54,pomegranate
175.0,38.0,198.0,5.7,0.47,0.16,9.63,82.95,46.61,36.59,42.51,pomegranate
161.0,73.0,183.0,6.2,0.28,0.29,10.65,91.85,33.55,66.69,38.12,pomegranate
172.0,45.0,176.0,6.6,0.58,0.3,16.95,112.96,22.16,56.8,26.34,pomegranate
139.0,21.0,185.0,5.9,0.51,0.3,10.19,94.0,34.25,58.48,19.45,pomegranate
150.0,62.0,176.0,6.1,0.84,0.21,16.41,87.05,53.95,34.8,34.93,pomegranate
176.0,51.0,184.0,6.1,0.13,0.15,18.4,71.79,44.18,55.0,31.36,pomegranate
176.0,12.0,174.0,6.6,0.48,0.19,17.53,71.91,41.8,38.42,39.85,pomegranate
169.0,66.0,184.0,6.9,0.89,0.22,18.47,63.19,68.27,63.18,46.11,pomegranate
163.0,61.0,208.0,6.6,0.43,0.28,7.43,74.29,35.88,70.0,17.96,pomegranate
132.0,26.0,172.0,6.8,0.73,0.18,17.28,65.02,22.87,24.21,25.7,pomegranate
140.0,38.0,209.0,7.1,0.31,0.18,12.11,72.29,51.01,55.48,38.58,pomegranate
131.0,55.0,194.0,5.7,0.45,0.29,10.82,90.61,56.08,58.15,32.65,pomegranate
137.0,76.0,190.0,5.8,0.18,0.27,9.37,83.59,27.1,42.23,11.5,pomegranate
145.0,61.0,187.0,6.6,0.75,0.28,11.01,116.14,54.45,52.35,30.73,pomegranate
147.0,21.0,194.0,6.9,0.8,0.27,9.42,96.66,54.55,64.95,14.86,pomegranate
170.0,57.0,203.0,6.6,0.95,0.29,10.64,108.13,69.0,50.66,43.61,pomegranate
150.0,14.0,215.0,6.8,0.39,0.2,14.0,104.99,24.9,67.39,37.16,pomegranate
151.0,12.0,196.0,6.9,0.57,0.16,5.35,60.9,40.23,69.89,19.32,pomegranate
174.0,76.0,216.0,6.3,0.66,0.18,19.55,107.03,53.17,23.04,46.68,pomegranate
163.0,61.0,220.0,7.0,0.5,0.25,8.1,90.4,31.96,40.56,47.76,pomegranate
162.0,77.0,188.0,6.3,0.22,0.23,19.09,111.44,51.52,31.47,15.38,pomegranate
167.0,15.0,205.0,6.7,0.38,0.25,18.59,109.46,49.94,50.26,37.5,pomegranate
153.0,49.0,175.0,7.0,0.28,0.17,8.99,91.57,65.61,46.49,47.35,pomegranate
167.0,25.0,194.0,5.6,0.6,0.15,18.64,85.77,29.01,24.07,15.66,pomegranate
169.0,26.0,220.0,7.2,0.15,0.18,9.12,118.78,20.58,67.41,31.29,pomegranate
160.0,54.0,203.0,5.8,0.38,0.18,16.85,67.35,64.58,39.63,36.93,pomegranate
151.0,33.0,220.0,6.7,0.14,0.19,12.44,103.93,26.86,52.42,31.56,pomegranate
164.0,72.0,206.0,6.0,0.8,0.27,10.13,72.74,29.08,61.03,47.98,pomegranate
153.0,79.0,201.0,5.6,0.35,0.25,12.1,103.03,47.11,52.56,16.59,pomegranate
172.0,65.0,212.0,6.1,0.61,0.21,12.23,82.96,44.4,20.4,22.27,pomegranate
167.0,24.0,171.0,7.0,0.23,0.23,16.91,89.45,55.35,45.29,48.11,pomegranate
131.0,61.0,181.0,7.1,0.11,0.21,16.24,75.44,34.66,32.53,35.69,pomegranate
135.0,41.0,214.0,7.1,0.25,0.19,14.11,105.35,31.74,51.75,36.69,pomegranate
145.0,68.0,213.0,6.7,0.75,0.17,19.66,104.17,69.42,47.15,31.94,pomegranate
176.0,30.0,190.0,7.2,0.19,0.22,10.83,90.85,21.81,47.5,31.73,pomegranate
172.0,72.0,218.0,7.0,0.9,0.21,7.43,100.58,34.67,65.51,34.69,pomegranate
157.0,57.0,172.0,5.6,0.52,0.23,9.81,65.34,26.63,54.44,49.59,pomegranate
165.0,80.0,171.0,6.6,0.11,0.19,8.6,84.92,38.74,48.12,36.84,pomegranate
158.0,79.0,182.0,7.1,0.32,0.25,10.71,73.99,26.78,55.33,15.66,pomegranate
135.0,63.0,170.0,6.0,0.45,0.22,7.98,60.38,57.34,51.34,22.41,pomegranate
157.0,46.0,199.0,5.8,0.01,0.2,7.45,65.0,24.56,56.96,20.7,pomegranate
176.0,74.0,175.0,6.5,0.69,0.23,17.81,87.13,23.95,30.95,43.3,pomegranate
132.0,51.0,185.0,5.7,0.72,0.27,19.22,80.11,30.93,36.45,37.74,pomegranate
148.0,51.0,219.0,6.1,0.06,0.16,13.6,82.62,66.02,44.14,14.28,pomegranate
154.0,53.0,189.0,7.0,0.42,0.29,19.56,84.84,53.28,42.85,43.03,pomegranate
133.0,32.0,213.0,6.3,0.99,0.24,14.59,90.79,46.43,38.54,23.61,pomegranate
178.0,32.0,182.0,6.3,0.11,0.27,8.07,61.9,26.59,45.86,15.67,pomegranate
130.0,11.0,200.0,6.0,0.71,0.19,19.34,115.24,43.76,46.77,24.31,pomegranate
163.0,51.0,198.0,6.6,0.62,0.22,5.54,78.87,30.25,41.57,30.42,pomegranate
131.0,39.0,181.0,7.1,0.41,0.29,15.56,110.63,27.42,49.04,41.53,pomegranate
167.0,39.0,183.0,6.4,0.58,0.25,5.63,66.23,68.1,27.78,20.73,pomegranate
140.0,61.0,193.0,6.7,0.04,0.19,14.65,116.21,57.04,55.82,43.71,pomegranate
139.0,55.0,190.0,6.3,0.03,0.27,10.61,118.68,50.28,34.29,39.61,pomegranate
140.0,63.0,201.0,6.8,0.91,0.23,19.94,63.87,69.02,46.39,44.53,pomegranate
153.0,36.0,202.0,6.4,0.24,0.18,13.97,85.31,36.42,26.41,48.34,pomegranate
146.0,39.0,197.0,7.0,0.59,0.21,9.44,73.93,48.22,42.19,41.01,pomegranate
146.0,69.0,177.0,6.9,0.8,0.18,18.81,111.02,69.4,20.08,49.27,pomegranate
150.0,17.0,171.0,6.2,0.43,0.29,13.53,62.62,34.65,23.35,42.68,pomegranate
132.0,11.0,196.0,5.7,0.87,0.19,19.53,78.11,56.31,54.22,11.07,pomegranate
171.0,34.0,201.0,7.1,1.0,0.26,12.11,66.56,39.54,67.53,47.21,pomegranate
180.0,11.0,211.0,6.0,0.84,0.23,5.85,92.52,37.42,47.7,48.25,pomegranate
